v320-021.ls6.tacc.utexas.edu
/work/06536/qezlou/hetdex/packs/private-het-data/scripts
Tue Sep  9 22:38:02 CDT 2025
WARNING!!!! CANNOT IMPORT hetdex_api.flux_limits.shot_sensitivity ShotSensitivity:  No module named 'pyhetdex'
Fibers | 09/09/2025 10:38:08 PM | INFO  |  loading shotids from /work/06536/qezlou/hetdex/data/hdr5_shotid_list.h5
Fibers | 09/09/2025 10:38:08 PM | INFO  |  707 shotids remaining to compute covariance for
Fibers | 09/09/2025 10:38:08 PM | INFO  |  working on shotid: 20231015020
Fibers | 09/09/2025 10:38:39 PM | INFO  |  Total fibers: 104160
Fibers | 09/09/2025 10:38:41 PM | INFO  |  Good fibers: 99546, Fraction of good pixels 0.9715925843871718
Fibers | 09/09/2025 10:38:47 PM | INFO  |   Remaining fraction after removing continuum sources 0.37226006067546663 
Fibers | 09/09/2025 10:38:48 PM | INFO  |  progress 102/808
Fibers | 09/09/2025 10:38:48 PM | INFO  |  saving cov in /work/06536/qezlou/hetdex/data/cov_calfib_ffsky_rmvd_bad_fibs_cont.h5
Fibers | 09/09/2025 10:38:50 PM | INFO  |  working on shotid: 20231016011
Fibers | 09/09/2025 10:39:18 PM | INFO  |  Total fibers: 104160
Fibers | 09/09/2025 10:39:20 PM | INFO  |  Good fibers: 99540, Fraction of good pixels 0.9712972918669122
Fibers | 09/09/2025 10:39:27 PM | INFO  |   Remaining fraction after removing continuum sources 0.6421539079766928 
Fibers | 09/09/2025 10:39:28 PM | INFO  |  working on shotid: 20231016012
Fibers | 09/09/2025 10:39:56 PM | INFO  |  Total fibers: 104160
Fibers | 09/09/2025 10:39:57 PM | INFO  |  Good fibers: 99543, Fraction of good pixels 0.9712962854143048
Fibers | 09/09/2025 10:40:04 PM | INFO  |   Remaining fraction after removing continuum sources 0.6193805692012497 
Fibers | 09/09/2025 10:40:05 PM | INFO  |  working on shotid: 20231016013
Fibers | 09/09/2025 10:40:42 PM | INFO  |  Total fibers: 104160
Fibers | 09/09/2025 10:40:43 PM | INFO  |  Good fibers: 100212, Fraction of good pixels 0.9710991558898995
Fibers | 09/09/2025 10:40:50 PM | INFO  |   Remaining fraction after removing continuum sources 0.6334670498543089 
Fibers | 09/09/2025 10:40:52 PM | INFO  |  working on shotid: 20231017012
Fibers | 09/09/2025 10:41:28 PM | INFO  |  Total fibers: 104160
Fibers | 09/09/2025 10:41:29 PM | INFO  |  Good fibers: 99540, Fraction of good pixels 0.9715696159864333
Fibers | 09/09/2025 10:41:36 PM | INFO  |   Remaining fraction after removing continuum sources 0.45004018485031144 
Fibers | 09/09/2025 10:41:37 PM | INFO  |  working on shotid: 20231017013
Fibers | 09/09/2025 10:42:05 PM | INFO  |  Total fibers: 104160
Fibers | 09/09/2025 10:42:07 PM | INFO  |  Good fibers: 99543, Fraction of good pixels 0.9715226965611221
Fibers | 09/09/2025 10:42:13 PM | INFO  |   Remaining fraction after removing continuum sources 0.5905990376018404 
Fibers | 09/09/2025 10:42:15 PM | INFO  |  working on shotid: 20231017014
Fibers | 09/09/2025 10:42:51 PM | INFO  |  Total fibers: 104160
Fibers | 09/09/2025 10:42:52 PM | INFO  |  Good fibers: 98886, Fraction of good pixels 0.9716227090248691
Fibers | 09/09/2025 10:42:59 PM | INFO  |   Remaining fraction after removing continuum sources 0.5610298727828004 
Fibers | 09/09/2025 10:43:00 PM | INFO  |  working on shotid: 20231017015
Fibers | 09/09/2025 10:43:37 PM | INFO  |  Total fibers: 104160
Fibers | 09/09/2025 10:43:39 PM | INFO  |  Good fibers: 99204, Fraction of good pixels 0.9714662302662787
Fibers | 09/09/2025 10:43:45 PM | INFO  |   Remaining fraction after removing continuum sources 0.40347163420829807 
Fibers | 09/09/2025 10:43:47 PM | INFO  |  working on shotid: 20231017016
Fibers | 09/09/2025 10:44:19 PM | INFO  |  Total fibers: 104160
Fibers | 09/09/2025 10:44:20 PM | INFO  |  Good fibers: 99204, Fraction of good pixels 0.9714099910966972
Fibers | 09/09/2025 10:44:26 PM | INFO  |   Remaining fraction after removing continuum sources 0.3893895407443248 
Fibers | 09/09/2025 10:44:28 PM | INFO  |  working on shotid: 20231017017
Fibers | 09/09/2025 10:44:58 PM | INFO  |  Total fibers: 104160
Fibers | 09/09/2025 10:44:59 PM | INFO  |  Good fibers: 98535, Fraction of good pixels 0.9713069832113826
Fibers | 09/09/2025 10:45:06 PM | INFO  |   Remaining fraction after removing continuum sources 0.18894808951134115 
Fibers | 09/09/2025 10:45:07 PM | INFO  |  working on shotid: 20231017018
Fibers | 09/09/2025 10:45:38 PM | INFO  |  Total fibers: 104160
Fibers | 09/09/2025 10:45:39 PM | INFO  |  Good fibers: 99546, Fraction of good pixels 0.9711136629797349
Fibers | 09/09/2025 10:45:46 PM | INFO  |   Remaining fraction after removing continuum sources 0.5570992305064995 
