c304-005.ls6.tacc.utexas.edu
/work/06536/qezlou/hetdex/packs/private-het-data/scripts
Sun Sep  7 16:41:14 CDT 2025
Fibers | 09/07/2025 04:41:17 PM | INFO  |  loading shotids from /work/06536/qezlou/hetdex/data/hdr5_shotid_list.h5
Fibers | 09/07/2025 04:41:19 PM | INFO  |  168 shotids remaining to compute covariance for
Fibers | 09/07/2025 04:41:19 PM | INFO  |  working on shotid: 20240527014
Fibers | 09/07/2025 04:41:31 PM | INFO  |  Total fibers: 104496
Fibers | 09/07/2025 04:41:31 PM | INFO  |  Good fibers: 98205
Fibers | 09/07/2025 04:41:34 PM | INFO  |  progress 641/808
Fibers | 09/07/2025 04:41:34 PM | INFO  |  saving cov in /work/06536/qezlou/hetdex/data/cov_calfib_ffsky.h5
Fibers | 09/07/2025 04:41:39 PM | INFO  |  working on shotid: 20240527015
Fibers | 09/07/2025 04:42:08 PM | INFO  |  Total fibers: 104496
Fibers | 09/07/2025 04:42:08 PM | INFO  |  Good fibers: 96867
Fibers | 09/07/2025 04:42:11 PM | INFO  |  working on shotid: 20240527016
Fibers | 09/07/2025 04:42:29 PM | INFO  |  Total fibers: 104496
Fibers | 09/07/2025 04:42:29 PM | INFO  |  Good fibers: 96531
Fibers | 09/07/2025 04:42:32 PM | INFO  |  working on shotid: 20240529006
Fibers | 09/07/2025 04:43:07 PM | INFO  |  Total fibers: 104496
Fibers | 09/07/2025 04:43:07 PM | INFO  |  Good fibers: 98877
Fibers | 09/07/2025 04:43:10 PM | INFO  |  working on shotid: 20240529007
Fibers | 09/07/2025 04:43:35 PM | INFO  |  Total fibers: 104496
Fibers | 09/07/2025 04:43:35 PM | INFO  |  Good fibers: 98541
Fibers | 09/07/2025 04:43:38 PM | INFO  |  working on shotid: 20240529008
Fibers | 09/07/2025 04:43:58 PM | INFO  |  Total fibers: 104496
Fibers | 09/07/2025 04:43:58 PM | INFO  |  Good fibers: 95859
Fibers | 09/07/2025 04:44:01 PM | INFO  |  working on shotid: 20240529011
Fibers | 09/07/2025 04:44:22 PM | INFO  |  Total fibers: 104496
Fibers | 09/07/2025 04:44:22 PM | INFO  |  Good fibers: 96864
Fibers | 09/07/2025 04:44:25 PM | INFO  |  working on shotid: 20240530011
Fibers | 09/07/2025 04:44:48 PM | INFO  |  Total fibers: 104496
Fibers | 09/07/2025 04:44:48 PM | INFO  |  Good fibers: 93714
Fibers | 09/07/2025 04:44:51 PM | INFO  |  working on shotid: 20240530012
Fibers | 09/07/2025 04:45:04 PM | INFO  |  Total fibers: 104496
Fibers | 09/07/2025 04:45:04 PM | INFO  |  Good fibers: 97241
Fibers | 09/07/2025 04:45:07 PM | INFO  |  working on shotid: 20240530013
Fibers | 09/07/2025 04:45:26 PM | INFO  |  Total fibers: 104496
Fibers | 09/07/2025 04:45:26 PM | INFO  |  Good fibers: 98877
Fibers | 09/07/2025 04:45:29 PM | INFO  |  working on shotid: 20240530014
Fibers | 09/07/2025 04:45:56 PM | INFO  |  Total fibers: 104496
Fibers | 09/07/2025 04:45:56 PM | INFO  |  Good fibers: 97203
Fibers | 09/07/2025 04:45:59 PM | INFO  |  progress 651/808
Fibers | 09/07/2025 04:45:59 PM | INFO  |  saving cov in /work/06536/qezlou/hetdex/data/cov_calfib_ffsky.h5
Fibers | 09/07/2025 04:46:04 PM | INFO  |  working on shotid: 20240530019
Fibers | 09/07/2025 04:46:30 PM | INFO  |  Total fibers: 104496
Fibers | 09/07/2025 04:46:31 PM | INFO  |  Good fibers: 94963
Fibers | 09/07/2025 04:46:33 PM | INFO  |  working on shotid: 20240530020
Fibers | 09/07/2025 04:46:58 PM | INFO  |  Total fibers: 104496
Fibers | 09/07/2025 04:46:58 PM | INFO  |  Good fibers: 98205
Fibers | 09/07/2025 04:47:01 PM | INFO  |  working on shotid: 20240531014
Fibers | 09/07/2025 04:47:29 PM | INFO  |  Total fibers: 104496
Fibers | 09/07/2025 04:47:29 PM | INFO  |  Good fibers: 95184
Fibers | 09/07/2025 04:47:32 PM | INFO  |  working on shotid: 20240531015
Fibers | 09/07/2025 04:48:02 PM | INFO  |  Total fibers: 104496
Fibers | 09/07/2025 04:48:02 PM | INFO  |  Good fibers: 96212
Fibers | 09/07/2025 04:48:05 PM | INFO  |  working on shotid: 20240531016
Fibers | 09/07/2025 04:48:33 PM | INFO  |  Total fibers: 104496
Fibers | 09/07/2025 04:48:33 PM | INFO  |  Good fibers: 97869
Fibers | 09/07/2025 04:48:36 PM | INFO  |  working on shotid: 20240531017
Fibers | 09/07/2025 04:48:56 PM | INFO  |  Total fibers: 104496
Fibers | 09/07/2025 04:48:56 PM | INFO  |  Good fibers: 98877
Fibers | 09/07/2025 04:48:59 PM | INFO  |  working on shotid: 20240531020
Fibers | 09/07/2025 04:49:31 PM | INFO  |  Total fibers: 104496
Fibers | 09/07/2025 04:49:31 PM | INFO  |  Good fibers: 97551
Fibers | 09/07/2025 04:49:34 PM | INFO  |  working on shotid: 20240531021
Fibers | 09/07/2025 04:49:56 PM | INFO  |  Total fibers: 104496
Fibers | 09/07/2025 04:49:56 PM | INFO  |  Good fibers: 90089
Fibers | 09/07/2025 04:49:59 PM | INFO  |  working on shotid: 20240531022
Fibers | 09/07/2025 04:50:24 PM | INFO  |  Total fibers: 104496
Fibers | 09/07/2025 04:50:24 PM | INFO  |  Good fibers: 98541
Fibers | 09/07/2025 04:50:27 PM | INFO  |  working on shotid: 20240601002
Fibers | 09/07/2025 04:51:05 PM | INFO  |  Total fibers: 104160
Fibers | 09/07/2025 04:51:05 PM | INFO  |  Good fibers: 96537
Fibers | 09/07/2025 04:51:08 PM | INFO  |  progress 661/808
Fibers | 09/07/2025 04:51:08 PM | INFO  |  saving cov in /work/06536/qezlou/hetdex/data/cov_calfib_ffsky.h5
Fibers | 09/07/2025 04:51:13 PM | INFO  |  working on shotid: 20240601003
Fibers | 09/07/2025 04:51:38 PM | INFO  |  Total fibers: 104496
Fibers | 09/07/2025 04:51:38 PM | INFO  |  Good fibers: 94478
Fibers | 09/07/2025 04:51:41 PM | INFO  |  working on shotid: 20240601004
Fibers | 09/07/2025 04:52:12 PM | INFO  |  Total fibers: 104384
Fibers | 09/07/2025 04:52:12 PM | INFO  |  Good fibers: 96531
Fibers | 09/07/2025 04:52:15 PM | INFO  |  working on shotid: 20240601005
Fibers | 09/07/2025 04:52:41 PM | INFO  |  Total fibers: 104384
Fibers | 09/07/2025 04:52:41 PM | INFO  |  Good fibers: 95184
Fibers | 09/07/2025 04:52:44 PM | INFO  |  working on shotid: 20240601007
Fibers | 09/07/2025 04:53:07 PM | INFO  |  Total fibers: 104496
Fibers | 09/07/2025 04:53:07 PM | INFO  |  Good fibers: 96528
Fibers | 09/07/2025 04:53:09 PM | INFO  |  working on shotid: 20240601008
Fibers | 09/07/2025 04:53:34 PM | INFO  |  Total fibers: 104384
Fibers | 09/07/2025 04:53:34 PM | INFO  |  Good fibers: 96864
Fibers | 09/07/2025 04:53:37 PM | INFO  |  working on shotid: 20240601009
Fibers | 09/07/2025 04:54:00 PM | INFO  |  Total fibers: 104496
Fibers | 09/07/2025 04:54:00 PM | INFO  |  Good fibers: 95856
Fibers | 09/07/2025 04:54:03 PM | INFO  |  working on shotid: 20240601010
Fibers | 09/07/2025 04:54:27 PM | INFO  |  Total fibers: 104496
Fibers | 09/07/2025 04:54:27 PM | INFO  |  Good fibers: 94851
Fibers | 09/07/2025 04:54:30 PM | INFO  |  working on shotid: 20240601011
Fibers | 09/07/2025 04:54:54 PM | INFO  |  Total fibers: 104384
Fibers | 09/07/2025 04:54:54 PM | INFO  |  Good fibers: 94182
Fibers | 09/07/2025 04:54:57 PM | INFO  |  working on shotid: 20240603013
Fibers | 09/07/2025 04:55:29 PM | INFO  |  Total fibers: 104496
Fibers | 09/07/2025 04:55:29 PM | INFO  |  Good fibers: 97869
Fibers | 09/07/2025 04:55:32 PM | INFO  |  working on shotid: 20240603016
Fibers | 09/07/2025 04:55:58 PM | INFO  |  Total fibers: 104496
Fibers | 09/07/2025 04:55:58 PM | INFO  |  Good fibers: 97533
Fibers | 09/07/2025 04:56:01 PM | INFO  |  progress 671/808
Fibers | 09/07/2025 04:56:01 PM | INFO  |  saving cov in /work/06536/qezlou/hetdex/data/cov_calfib_ffsky.h5
Fibers | 09/07/2025 04:56:06 PM | INFO  |  working on shotid: 20240603017
Fibers | 09/07/2025 04:56:34 PM | INFO  |  Total fibers: 104496
Fibers | 09/07/2025 04:56:34 PM | INFO  |  Good fibers: 95193
Fibers | 09/07/2025 04:56:37 PM | INFO  |  working on shotid: 20240603018
Fibers | 09/07/2025 04:57:08 PM | INFO  |  Total fibers: 104496
Fibers | 09/07/2025 04:57:08 PM | INFO  |  Good fibers: 97197
Fibers | 09/07/2025 04:57:11 PM | INFO  |  working on shotid: 20240603019
Fibers | 09/07/2025 04:57:39 PM | INFO  |  Total fibers: 104496
Fibers | 09/07/2025 04:57:39 PM | INFO  |  Good fibers: 96525
Fibers | 09/07/2025 04:57:42 PM | INFO  |  working on shotid: 20240603020
Fibers | 09/07/2025 04:58:08 PM | INFO  |  Total fibers: 104496
Fibers | 09/07/2025 04:58:08 PM | INFO  |  Good fibers: 96861
Fibers | 09/07/2025 04:58:11 PM | INFO  |  working on shotid: 20240603021
Fibers | 09/07/2025 04:58:35 PM | INFO  |  Total fibers: 104496
Fibers | 09/07/2025 04:58:35 PM | INFO  |  Good fibers: 94854
Fibers | 09/07/2025 04:58:38 PM | INFO  |  working on shotid: 20240603022
Fibers | 09/07/2025 04:59:10 PM | INFO  |  Total fibers: 104496
Fibers | 09/07/2025 04:59:10 PM | INFO  |  Good fibers: 94400
Fibers | 09/07/2025 04:59:13 PM | INFO  |  working on shotid: 20240604006
Fibers | 09/07/2025 04:59:35 PM | INFO  |  Total fibers: 104496
Fibers | 09/07/2025 04:59:35 PM | INFO  |  Good fibers: 97200
Fibers | 09/07/2025 04:59:38 PM | INFO  |  working on shotid: 20240604007
Fibers | 09/07/2025 05:00:01 PM | INFO  |  Total fibers: 104496
Fibers | 09/07/2025 05:00:01 PM | INFO  |  Good fibers: 97869
Fibers | 09/07/2025 05:00:04 PM | INFO  |  working on shotid: 20240604008
Fibers | 09/07/2025 05:00:29 PM | INFO  |  Total fibers: 104496
Fibers | 09/07/2025 05:00:30 PM | INFO  |  Good fibers: 98205
Fibers | 09/07/2025 05:00:33 PM | INFO  |  working on shotid: 20240604011
Fibers | 09/07/2025 05:00:54 PM | INFO  |  Total fibers: 104496
Fibers | 09/07/2025 05:00:54 PM | INFO  |  Good fibers: 97533
Fibers | 09/07/2025 05:00:57 PM | INFO  |  progress 681/808
Fibers | 09/07/2025 05:00:57 PM | INFO  |  saving cov in /work/06536/qezlou/hetdex/data/cov_calfib_ffsky.h5
Fibers | 09/07/2025 05:01:03 PM | INFO  |  working on shotid: 20240604012
Fibers | 09/07/2025 05:01:32 PM | INFO  |  Total fibers: 104496
Fibers | 09/07/2025 05:01:32 PM | INFO  |  Good fibers: 96797
Fibers | 09/07/2025 05:01:35 PM | INFO  |  working on shotid: 20240604013
Fibers | 09/07/2025 05:01:56 PM | INFO  |  Total fibers: 104496
Fibers | 09/07/2025 05:01:56 PM | INFO  |  Good fibers: 97869
Fibers | 09/07/2025 05:01:59 PM | INFO  |  working on shotid: 20240604014
Fibers | 09/07/2025 05:02:20 PM | INFO  |  Total fibers: 104496
Fibers | 09/07/2025 05:02:20 PM | INFO  |  Good fibers: 94644
Fibers | 09/07/2025 05:02:23 PM | INFO  |  working on shotid: 20240604015
Fibers | 09/07/2025 05:02:54 PM | INFO  |  Total fibers: 104496
Fibers | 09/07/2025 05:02:54 PM | INFO  |  Good fibers: 96864
Fibers | 09/07/2025 05:02:57 PM | INFO  |  working on shotid: 20240604016
Fibers | 09/07/2025 05:03:31 PM | INFO  |  Total fibers: 104496
Fibers | 09/07/2025 05:03:31 PM | INFO  |  Good fibers: 96134
Fibers | 09/07/2025 05:03:34 PM | INFO  |  working on shotid: 20240604017
Fibers | 09/07/2025 05:03:58 PM | INFO  |  Total fibers: 104496
Fibers | 09/07/2025 05:03:58 PM | INFO  |  Good fibers: 93827
Fibers | 09/07/2025 05:04:01 PM | INFO  |  working on shotid: 20240604018
Fibers | 09/07/2025 05:04:28 PM | INFO  |  Total fibers: 104496
Fibers | 09/07/2025 05:04:28 PM | INFO  |  Good fibers: 95184
Fibers | 09/07/2025 05:04:31 PM | INFO  |  working on shotid: 20240605006
Fibers | 09/07/2025 05:05:04 PM | INFO  |  Total fibers: 104496
Fibers | 09/07/2025 05:05:04 PM | INFO  |  Good fibers: 97536
Fibers | 09/07/2025 05:05:07 PM | INFO  |  working on shotid: 20240605007
Fibers | 09/07/2025 05:05:32 PM | INFO  |  Total fibers: 104496
Fibers | 09/07/2025 05:05:32 PM | INFO  |  Good fibers: 96525
