v320-024.ls6.tacc.utexas.edu
/work/06536/qezlou/hetdex/packs/private-het-data/scripts
Tue Sep  9 18:55:10 CDT 2025
WARNING!!!! CANNOT IMPORT hetdex_api.flux_limits.shot_sensitivity ShotSensitivity:  No module named 'pyhetdex'
Fibers | 09/09/2025 07:04:12 PM | INFO  |  Good fibers: 97533, Fraction of good pixels 0.9716718491517791
Fibers | 09/09/2025 07:04:18 PM | INFO  |   Remaining fraction after removing continuum sources 0.2858929798119611 
Fibers | 09/09/2025 07:04:19 PM | INFO  |  working on shotid: 20230914013
Fibers | 09/09/2025 07:04:47 PM | INFO  |  Total fibers: 102480
Fibers | 09/09/2025 07:04:48 PM | INFO  |  Good fibers: 97530, Fraction of good pixels 0.9716258971103634
Fibers | 09/09/2025 07:04:55 PM | INFO  |   Remaining fraction after removing continuum sources 0.5405311186301651 
Fibers | 09/09/2025 07:04:56 PM | INFO  |  working on shotid: 20230914014
Fibers | 09/09/2025 07:05:23 PM | INFO  |  Total fibers: 102480
Fibers | 09/09/2025 07:05:25 PM | INFO  |  Good fibers: 97536, Fraction of good pixels 0.971482651054809
Fibers | 09/09/2025 07:05:31 PM | INFO  |   Remaining fraction after removing continuum sources 0.6592847769028871 
Fibers | 09/09/2025 07:05:33 PM | INFO  |  working on shotid: 20230914015
Fibers | 09/09/2025 07:06:02 PM | INFO  |  Total fibers: 102480
Fibers | 09/09/2025 07:06:04 PM | INFO  |  Good fibers: 97530, Fraction of good pixels 0.9715745615545677
Fibers | 09/09/2025 07:06:10 PM | INFO  |   Remaining fraction after removing continuum sources 0.6151543114938993 
Fibers | 09/09/2025 07:06:12 PM | INFO  |  working on shotid: 20230915014
Fibers | 09/09/2025 07:06:43 PM | INFO  |  Total fibers: 102144
Fibers | 09/09/2025 07:06:45 PM | INFO  |  Good fibers: 97530, Fraction of good pixels 0.9715802028244354
Fibers | 09/09/2025 07:06:51 PM | INFO  |   Remaining fraction after removing continuum sources 0.3724392494617041 
Fibers | 09/09/2025 07:06:52 PM | INFO  |  working on shotid: 20230915015
Fibers | 09/09/2025 07:07:22 PM | INFO  |  Total fibers: 102144
Fibers | 09/09/2025 07:07:24 PM | INFO  |  Good fibers: 96858, Fraction of good pixels 0.9715715961534582
Fibers | 09/09/2025 07:07:30 PM | INFO  |   Remaining fraction after removing continuum sources 0.5773813211092527 
Fibers | 09/09/2025 07:07:32 PM | INFO  |  working on shotid: 20230915016
Fibers | 09/09/2025 07:08:02 PM | INFO  |  Total fibers: 102144
Fibers | 09/09/2025 07:08:04 PM | INFO  |  Good fibers: 97194, Fraction of good pixels 0.9715838593084102
Fibers | 09/09/2025 07:08:10 PM | INFO  |   Remaining fraction after removing continuum sources 0.488600119348931 
Fibers | 09/09/2025 07:08:11 PM | INFO  |  progress 21/808
Fibers | 09/09/2025 07:08:11 PM | INFO  |  saving cov in /work/06536/qezlou/hetdex/data/cov_calfib_ffsky_rmvd_bad_fibs_cont.h5
